id,zh,en,district,old_cuisine,new_tags,featured,editorialNote_zh,chain_brand,chain_branch,csv_matched
howhow,好好酒楼,HowHow,Wittnau,,,,,,,yes
yan-huo-bbq-hotpot,宴火,Yan Huo BBQ&Hotpot,Westend,,BBQ|HOTPOT,,,,,yes
wunderbau,恩典之家,Wunderbau,Wilmersdorf,,,,,,,yes
wiling,威玲,Wiling,Wilmersdorf,,,,,,,yes
ting-song-hotpot,随园·听松,Ting Song Hotpot,Wilmersdorf,,HOTPOT,,,,,yes
tianfu,天府酒家,Tianfu,Wilmersdorf,,,,,,,yes
shaniu-s-market-bistro,傻妞便利店,Shaniu‘s Market/Bistro,Wilmersdorf,,STREET_FOOD,,,,,yes
shaniu-s-house-of-noodles-wilmersdorf,傻妞面馆,Shaniu‘s House of Noodles (Wilmersdorf),Wilmersdorf,,NOODLES,,,Shaniu‘s House of Noodles,Wilmersdorf,yes
noodle-point,想见面,Noodle Point,Wilmersdorf,,NOODLES,,,,,yes
mr-liu,Mr. Liu,Mr. Liu,Wilmersdorf,,,,,,,yes
meet-you,宴遇,Meet You,Wilmersdorf,,CANTONESE|BREAKFAST|DIM_SUM,yes,中式早餐｜周末点心｜海鲜粤菜,,,yes
mandarine-bowl,小桔碗,Mandarine Bowl,Wilmersdorf,,STREET_FOOD,,,,,yes
lychee,Lychee,Lychee,Wilmersdorf,,,,,,,yes
lon-min,龙门,Lon-Min,Wilmersdorf,,,,,,,yes
hou-tang-hotpot,吼堂火锅,Hou Tang Hotpot,Wilmersdorf,,SICHUAN|HOTPOT,yes,成都火锅｜锅底讲究｜适合团体,,,yes
hot-spot,聚友阁,Hot Spot,Wilmersdorf,,,,,,,yes
feast,王家一号,Feast,Wilmersdorf,,,,,,,yes
chen-s-teehaus,陈氏茶缘,Chen‘s Teehaus,Wilmersdorf,,STREET_FOOD|TEA_HOUSE,,,,,yes
uuu,UUU,UUU,Wedding,,FUSION,yes,现代中餐｜分享套餐｜茶饮配对,,,yes
szechuan-kueche,椒点私厨,SzeChuan Küche,Wedding,,SICHUAN,,,,,yes
mr-noodle-chen-wedding,陈香贵,Mr. Noodle Chen (Wedding),Wedding,,MUSLIM|NOODLES,yes,兰州拉面｜现拉现煮｜连锁首店,Mr. Noodle Chen,Wedding,yes
leis-kueche,蕾小厨湘菜馆,Lei’s Küche,Wedding,,HUNAN,,,,,yes
han-west-wedding,Han West (Wedding),Han West (Wedding),Wedding,,STREET_FOOD,,,Han West,Wedding,yes
asia-deli,美食家,Asia Deli,Wedding,,STREET_FOOD,,,,,yes
shaniu-s-house-of-noodles-tiergarten,傻妞面馆,Shaniu‘s House of Noodles (Tiergarten),Tiergarten,,SICHUAN|NOODLES,yes,手工面条｜川味小馆｜午餐很稳,Shaniu‘s House of Noodles,Tiergarten,yes
mao-zeit,Mao Zeit,Mao Zeit,Tiergarten,,SICHUAN|MALATANG,,,,,yes
jian-bing-town,煎饼堂,Jian Bing Town,Tiergarten,,BAKERY|STREET_FOOD,,,,,yes
chens-noodle-house-tiergarten,陈记牛肉面馆,Chen’s Noodle House (Tiergarten),Tiergarten,,NOODLES,,,Chen’s Noodle House,Tiergarten,yes
good-aroma,Good Aroma,Good Aroma,Tempelhof,,STREET_FOOD,,,,,yes
sun-wah,新华,Sun Wah,Tegel,,,,,,,yes
pongs-china-restaurant,Pong's China Restaurant,Pong's China Restaurant,Tegel,,,,,,,yes
lucky,福仁,Lucky,Tegel,,,,,,,yes
yangguofu-steglitz,杨国福,Yangguofu (Steglitz),Steglitz,,SICHUAN|MALATANG,,,Yangguofu,Steglitz,yes
sichuan,四川饭店,Sichuan,Steglitz,,SICHUAN,,,,,yes
jing-yang,新景阳,Jing Yang,Steglitz,,,,,,,yes
hee-lam-mun,喜临门,Hee Lam Mun,Steglitz,,,,,,,yes
fu-li-lai,福利来,Fu Li Lai,Steglitz,,,,,,,yes
regent,Regent,Regent,Spandau,,,,,,,yes
peking-perle,Peking Perle,Peking Perle,Spandau,,NORTHERN,,,,,yes
man-far,万花酒楼,Man-Far,Spandau,,,,,,,yes
macao,澳门酒楼,Macao,Spandau,,,,,,,yes
king-men,King-Men,King-Men,Spandau,,,,,,,yes
