;店名;EN;类别;连锁;地址;Ortsteil;推荐备注;柏林慢慢游甄选20;;;;;;;;;;;;;;;;;
1;7 Dumpling;7 Dumpling;小吃;否;Ansbacher Str. 29, 10789 Berlin;Schöneberg;;;;;;;;;;;;;;;;;;;
2;澳门酒楼/Macao;Macao;饭店;否;Breite Str. 37, 13597 Berlin;Spandau;;;;;;;;;;;;;;;;;;;
3;伴面/Ban Noodle;Ban Noodle;面馆;否;Kantstraße 62, 10627 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
4;包餃會/Bao Gao Club (Xberg);Bao Gao Club (Xberg);小吃;是;Markthalle Neun, Eisenbahnstraße 42-43, 10997 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
5;包饺会/Bao Gao Club (PBerg);Bao Gao Club (PBerg);小吃;是;Schönhauser Allee 103, 10439 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
6;北方水饺/Wok Show;Wok Show;饭店;否;Greifenhagener Str. 31, 10437 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
7;宾临城下/Noodle Plus;Noodle Plus;面馆;否;Hannah-Arendt-Straße 1, 10117 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
8;Bang Bang Noodles (Mitte);Bang Bang Noodles (Mitte);面馆;是;Rosenthaler Str. 69, 10119 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
9;Bang Bang Noodles (Xberg);Bang Bang Noodles (Xberg);面馆;是;Mehringdamm 51, 10961 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
10;Biang Biang Ming (Bikini);Biang Biang Ming (Bikini);面馆;是;Kantini 1.OG, Bikini, Budapester Str. 38-50, 10787 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
11;Biang Biang Ming (Friedenau);Biang Biang Ming (Friedenau);面馆;是;Schloßstr. Center, Walther-Schreiber-Platz 1, 12161 Berlin;Friedenau;;;;;;;;;;;;;;;;;;;
12;Bingery;Bingery;小吃;否;Akazienstraße 27, 10823 Berlin;Schöneberg;;;;;;;;;;;;;;;;;;;
13;财神饭店/Aroma (Chburg);Aroma;饭店;否;Kantstraße 35, 10625 Berlin;Charlottenburg;;广式点心｜凌晨营业｜宵夜江湖;;;;;;;;;;;;;;;;;
14;茶点屋/Teegebäck-Haus;Teegebäck-Haus;小吃;否;Waldeyerstraße 12, 10247 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
15;Cha for Tee;Cha for Tee;小吃;否;Friesenstraße 18, 10965 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
16;长青酒楼/Evergreen;Evergreen;饭店;否;Magistratsweg 31, 13593 Berlin;Spandau;;;;;;;;;;;;;;;;;;;
17;长征餐厅/Long March Canteen;Long March Canteen;饭店;否;Wrangelstraße 20, 10997 Berlin;Kreuzberg;;米其林必比登｜粤式点心｜酒吧氛围;;;;;;;;;;;;;;;;;
18;陈记牛肉面馆/Chen’s Noodle House (Neukölln 1);Chen’s Noodle House (Neukölln 1);面馆;是;Karl-Marx-Straße 78, 12043 Berlin;Neukölln;;;;;;;;;;;;;;;;;;;
19;陈记牛肉面馆/Chen’s Noodle House (Neukölln 2);Chen’s Noodle House (Neukölln 2);面馆;是;Karl-Marx-Straße 101, 12043 Berlin;Neukölln;;;;;;;;;;;;;;;;;;;
20;陈记牛肉面馆/Chen’s Noodle House (Tiergarten);Chen’s Noodle House (Tiergarten);面馆;是;Manifesto Market, Alte Potsdamer Str. 7, 10785 Berlin;Tiergarten;;;;;;;;;;;;;;;;;;;
21;陈记牛肉面馆/Chen’s Noodle House (Xberg);Chen’s Noodle House (Xberg);面馆;是;Adalbertstraße 7, 10999 Berlin;Kreuzberg;;清真手拉｜新疆风味｜Kotti地标;;;;;;;;;;;;;;;;;
